Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
"Agar (algue), cru","27,43","0,54","91,3","6,25","0,03","0,28",-,"0,5",-,"1,36",0,-,"0,006","0,003","0,01",0,0,0,0,0,0,"0,005",0,-,-,-,-,"0,008",0,0,"0,023",54,-,"0,061","1,86",-,67,"0,37",5,226,-,9,"0,58",0,0,0,"0,87","2,3",-,0,"0,005","0,022","0,055","0,3","0,032",85,0
"Agneau, collier, braisé ou bouilli","364,80","33,6","40,6",0,"25,6",0,-,0,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,-,-,-,-,"0,66",-,-,-,-,-,"13,9",-,"7,14",-,-,-,"0,36",-,-,-,"0,1",-,"4,26","0,69","0,095",-,"2,06"
"Agneau, collier, cru","195,30",18,"68,2",0,"13,7",0,-,0,0,"0,21",0,0,"5,79","5,21","0,92",-,-,-,-,"0,064","0,59","2,8","1,67","3,98","0,5","0,091","0,044",-,-,-,"0,2",-,-,-,"1,14",-,-,-,-,-,"7,41","80,1","3,82",-,-,-,-,-,-,-,-,-,"4,27",-,"0,16",-,"2,18"
"Agneau, côte filet, crue","241,60","17,6",64,"2,3",18,0,-,0,0,"0,19",0,0,"7,75","6,8","1,26",-,-,-,-,"0,085","0,8","3,75","2,16","5,04","0,69","0,12","0,057",-,-,-,"0,18",9,-,-,"1,15",-,-,-,-,-,"5,7","69,6","2,08",-,-,-,-,-,-,-,-,-,"5,51",-,"0,23",-,"1,47"
"Agneau, côte filet, grillée/poêlée","157,22","26,3","67,7",0,"5,78",0,-,0,0,-,0,0,"2,21","2,05","0,54",-,-,-,-,"0,022","0,2","1,08","0,67","1,58","0,28","0,038","0,066",-,"0,0057",86,-,-,-,-,"1,27",-,-,-,-,-,"10,1",-,"3,55",-,-,-,"0,16",-,-,-,"0,1",-,"6,72","0,62","0,3",-,"1,22"
"Agneau, côte ou côtelette, crue (aliment moyen)","295,08","16,3","57,8","0,77","25,2",0,,0,0,"0,37",0,0,"11,5","9,54","1,48",,,,,"0,065","1,19","5,46","3,88","7,96","0,79","0,36","0,036",,,,"0,18","9,97",,,"1,25",,,,,,"3,97","72,3","2,45",,,,,,,,,,"4,98",,"0,21",,"1,44"
"Agneau, côte ou côtelette, cuite (aliment moyen)","157,22","26,3","67,7",0,"5,78",0,,0,0,,0,0,"2,21","2,05","0,54",,,,,"0,022","0,2","1,08","0,67","1,58","0,28","0,038","0,066",,"0,0057",86,,,,,"1,27",,,,,,"10,1",,"3,55",,,,"0,16",,,,"0,1",,"6,72","0,62","0,3",,"1,22"
"Agneau, côte ou côtelette, grillée/poêlée (aliment moyen)","157,22","26,3","67,7",0,"5,78",0,,0,0,,0,0,"2,21","2,05","0,54",,,,,"0,022","0,2","1,08","0,67","1,58","0,28","0,038","0,066",,"0,0057",86,,,,,"1,27",,,,,,"10,1",,"3,55",,,,"0,16",,,,"0,1",,"6,72","0,62","0,3",,"1,22"
"Agneau, côte première, crue","275,50","16,9","59,3",0,"23,1",0,-,0,0,"0,21",0,0,10,"8,82","1,57",-,-,-,-,"0,11","1,04","4,85","2,77","6,53","0,87","0,15","0,052",-,-,-,"0,2",8,-,-,"1,12",-,-,-,-,-,"4,81","81,2","1,84",-,-,-,-,-,-,-,-,-,"5,14",-,"0,21",-,"1,64"
"Agneau, côte première, grillée/poêlée","185,49","26,1","64,1",0,"9,01",0,-,0,0,"0,93",0,0,"3,67","3,37","0,7",-,-,-,"0,08","0,039","0,36","1,8","1,06","2,58","0,39","0,06","0,053",-,"0,004",90,"0,18",22,-,"0,12","1,27",-,20,"0,019",166,271,"9,36",73,"3,43",0,-,-,"0,1",-,-,0,"0,1","0,21","6,64","0,7","0,28",15,"1,38"
"Agneau, côtelette, crue","368,10","14,4","50,2",0,"34,5",0,0,0,0,"0,7",0,0,"16,8",13,"1,6",0,0,0,0,0,"1,74","7,79","6,72","12,3","0,8","0,8",0,0,0,82,"0,17","12,9",-,"0,12","1,5","0,7",17,"0,01",136,218,"1,4",66,"3,42",45,0,"0,4","0,7",0,-,1,"0,18","0,3","4,3","0,55","0,2","2,6","1,2"
