Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
"Concombre, pulpe, cru","10,03","0,58","96,5","1,5","0,19","1,38","< 0,5","0,7",-,"0,33",0,-,"0,078","0,002","0,003",0,0,0,0,"0,00061","0,00076","0,056","0,011","0,002","0,0017","0,0013",-,0,0,0,"0,016",14,61,"0,071","0,22",< 5,12,"0,073",21,136,-,"6,5","0,17",0,31,0,"0,03","7,2",-,"3,73","< 0,04","0,018","0,11","< 0,16","0,048",10,0
"Cône ou cornet classique, pour glace","396,60","7,5",-,"80,4",5,"25,6",-,2,-,"0,54",0,0,"4,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,54",-,-,-,-,-,-,-,-,-,-,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Confiserie au chocolat dragéifiée,"497,86","5,49","2,33","64,3","24,3","57,4","6,87","1,98","0,002","1,55",0,"0,046",15,"7,79","1,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,1","0,28",231,-,"0,8","12,5","7,87","40,5",-,292,112,-,113,"0,97",194,-,"0,46","5,69",-,-,"0,95","0,057","0,28","0,17","0,5","0,08","6,5","0,68"
Confit de canard,"285,24","25,7","49,7","3,31","18,8","0,14",< 1,"0,4",0,"2,11",0,0,"7,26","8,89","1,78","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,071","2,49","2,13","3,27","1,17","0,034","0,37",-,-,132,"1,44","5,3",-,"< 0,1","2,7",17,"18,8","< 0,1",179,241,28,568,"5,7",21,< 30,"1,8","0,46",-,-,< 1,"0,056","0,34","7,1","0,74","0,3",< 20,"2,95"
"Confit de canard, viande (cuisse), sans peau, réchauffé","194,60",32,58,0,"7,4",-,-,0,0,"2,69",0,0,"2,31","3,56","1,12","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,05","1,67","0,59","3,16","0,85","0,03","0,15","< 0,01","0,01",112,"1,89",13,1220,"0,16","2,3",< 20,17,"< 0,01",170,300,40,757,"5,5",< 21,-,"1,14","0,59","< 0,8",-,"< 0,5","0,043","0,23","5,16","0,92","0,18","23,8","4,24"
Confit de foie de porc,"345,40",16,"42,9","14,1",25,1,-,"0,5",0,"1,51",0,0,"9,5",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,51",-,-,-,-,-,-,-,-,-,-,605,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Confit de foie de volaille,"355,68",14,"46,7","7,42",30,0,-,0,0,"1,93",0,0,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,93",-,-,-,-,-,-,-,-,-,-,770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Confiture d'abricot (extra ou classique),"244,49","0,32","38,9","60,6","0,09","57,7","2,88","0,74",-,"< 0,25",0,-,"0,041","0,031",0,"< 0,006",-,-,-,-,-,-,-,-,-,0,-,-,-,0,"0,014","8,8","< 3,6","0,03","0,17",< 20,"4,8","0,03",10,140,< 20,"6,83","0,05",0,"49,5",0,0,"< 0,8",-,"5,19","< 0,01","< 0,01","0,14","0,082","< 0,01","5,41",-
Confiture de cerise (extra ou classique),"246,64","0,4","39,5","60,9","0,16",60,-,"0,55",-,"< 0,25",0,-,0,-,-,"< 0,006",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,018",12,"< 3,6","0,05","0,22",< 20,"7,1","0,08",16,110,< 20,7,"< 0,05",-,"54,8",-,-,"1,14",-,"19,6","0,024","0,013","< 0,1","0,1","< 0,01",6,-
Confiture de fraise (extra ou classique),"244,72","0,32","37,9","60,5","0,16","56,9","3,67","1,01",-,"0,19",0,-,"0,065","0,011","0,048",-,-,-,-,-,-,"0,025",-,"0,011","0,025","0,023",0,-,-,-,"0,0088","9,2",-,"< 0,1","< 0,1",< 10,"5,6","< 0,1","9,9","61,7",-,"3,75","< 0,1",-,< 50,-,"< 0,1",-,-,"1,1",-,"< 0,05","< 0,05","< 0,05","< 0,05",22,-
Confiture de framboise (extra ou classique),"247,81","0,48","39,9",61,"0,21","59,5",-,"0,95",-,"0,37",0,-,0,-,-,"< 0,006",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,013","9,9","5,25","0,02","0,28",< 20,"9,5","0,87",11,100,< 20,5,"0,12",-,< 5,-,-,2,-,"2,93","0,019","0,012","< 0,1","0,077","0,029","13,9",-
Confiture de lait,"307,89","6,71","28,1",58,"5,45","51,7",-,"0,58",-,"1,5",0,0,"2,87","1,46","0,22","0,12","0,089","0,054","0,14","0,14","0,49","1,32","0,53","1,46","0,099","0,031",-,"0,004",0,23,"0,27",211,-,"0,004","0,17",-,22,"0,002",193,350,-,109,"0,79",73,-,"0,2","0,2",-,-,"2,6","0,016","0,41","0,21","0,84","0,016",11,"0,31"
"Confiture, tout type de fruits, allégée en sucres (extra ou classique)","168,61","0,48","54,8","41,2","0,21","38,7",-,"1,6",-,"0,28",0,-,"0,044","0,036",-,-,-,-,-,"< 0,00008","< 0,00008","0,015",-,"0,036","0,051","0,054",-,"< 0,00008","< 0,00008",-,"0,022","12,3",-,"< 0,1","< 0,1",< 10,7,"< 0,1","12,8","75,8",-,9,"< 0,1",-,62,-,"0,17",-,-,< 1,-,"< 0,05","< 0,05","< 0,05","< 0,05","16,8",-
"Congre, cru","114,60","18,3","73,2",0,"4,6",0,0,0,0,"0,75",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,"0,13",71,100,"0,2","1,3",30,20,"0,01",270,240,-,50,"0,9",0,-,0,0,-,-,0,"0,06","0,04","4,3","0,24",0,0,3
Cookie aux pépites de chocolat,"494,98","6,47","3,46",59,"25,9","31,5","27,5","3,38",-,"1,77",0,0,"12,9","9,59","2,33","0,071","0,047","0,086","0,085","0,38","0,43","8,69","2,28","9,37","2,15","0,049","0,0028","0,0026","< 0,005","17,3","1,01","30,5",-,"0,44","3,43",11,"70,2","0,75",153,270,< 5,403,"1,2",30,11,"< 0,5","2,6",-,-,< 1,"0,26","0,24","1,05","0,43","0,09",38,"< 0,08"
Coppa,"284,00",25,-,1,20,"0,5",-,0,0,"4,5",0,0,"6,83","5,92",-,-,-,-,"0,014","0,014","0,2","3,46","1,94","5,92","1,61","0,063","0,057",-,-,-,"4,5",-,-,-,-,12,-,-,-,-,-,1800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coq au vin,"131,00",13,-,4,7,1,-,"0,9",0,"1,35",0,0,1,"3,87","1,75",-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,"1,05",14,-,"0,03","1,3","3,3",16,"0,14",128,145,"0,11",420,"0,21",-,0,"0,04","0,48",-,-,"1,5","0,07","0,19","3,7","0,74","0,17",31,"1,4"
"Coquille Saint-Jacques, noix et corail, crue","82,91",17,"79,3","0,78","1,31",0,-,0,0,"1,62",0,0,"0,19","0,096","0,38",0,0,0,0,"0,001","0,02","0,12","0,04","0,011","0,0076","0,0086",-,"0,12","0,14","42,2","0,48",220,-,"< 0,09","1,16","42,6","51,4","2,4",225,388,"21,4",191,"2,91",2,0,"< 0,5",0,0,-,0,"< 0,04","0,14","1,9","0,4","0,1",17,"4,99"
"Coquille Saint-Jacques, noix et corail, cuite","109,61","20,2",73,"3,22","1,77",0,0,0,0,"1,82",0,0,"0,32","0,12","0,68",0,0,0,0,"0,047","0,02","0,17","0,081","0,06","0,009","0,011",-,"0,12","0,12",44,"0,46","17,1",410,"0,073","1,4",20,"62,8","1,27",357,348,"61,4",183,"2,89",2,0,0,0,0,-,0,"0,046","0,037","0,99","0,26","0,11",19,"8,39"
"Coquille Saint-Jacques, noix, crue","83,76","17,9","78,7","1,15","0,84",0,-,0,0,"1,49",0,0,"0,094","0,032","0,17",-,-,-,-,-,"0,0062","0,057","0,025","0,003","0,0018","0,0014",-,"0,05","0,081",38,"0,34","11,9",-,"< 0,1","0,58",28,44,"1,15",224,392,"7,7",137,"1,56",< 2,-,"< 0,5","1,04",-,-,-,"< 0,04","0,046","1,97","0,092","0,13",-,2
"Corb, cru","87,20",20,78,0,"0,8",0,-,0,0,2,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,-,"0,8",-,-,61,"0,3",-,527,-,-,"2,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cordon bleu de volaille,"231,00",14,"54,1","16,3","12,2","2,2","11,9","0,78",0,"2,64",0,0,"3,2","4,23","3,22","0,05","0,04","0,03","0,059","0,08","0,25","2,17","0,52","4,08","2,93","0,12","0,033",-,-,"37,5","1,73","60,6",-,"0,071","0,68",8,"37,6","0,18",172,336,< 10,683,"1,16",25,7,"< 0,5","2,4",-,-,0,"0,13","0,12","4,8","0,6","0,28",< 16,"0,58"
"Corégone lavaret, cru","114,60","21,9",74,0,3,0,-,0,0,"1,4",0,0,"0,95","0,72","1,18",-,-,-,-,0,"0,18","0,59","0,14",-,"0,09","0,14",-,-,-,60,"0,12",60,-,"0,026","0,5",12,30,"0,05",290,380,16,49,"0,54",8,-,3,"2,7",0,-,0,"0,07","0,07",4,-,-,-,-
"Coriandre, fraiche","16,68","2,13","92,2","0,87","0,52","0,87",-,"2,8",0,"1,47",0,0,"0,014","0,28","0,04",0,0,0,0,0,0,"0,012","0,001",-,-,-,-,0,0,0,"0,12",67,-,"0,23","1,77",-,26,"0,43",48,521,-,46,"0,5",0,3930,0,"2,5",310,-,27,"0,067","0,16","1,11","0,57","0,15",62,0
"Coriandre, graine","261,80","12,4","8,88",13,"17,8",-,-,"41,9",0,"6,01",0,0,"0,97","13,6","1,76",-,-,-,-,-,"0,02","0,81","0,11","13,5","1,76",-,-,-,-,0,"0,088",709,-,"0,98","16,3",-,330,"1,9",409,1270,-,35,"4,7",0,-,0,-,-,-,21,"0,24","0,29","2,13",-,-,0,0
Corne de gazelle (pâtisserie orientale aux amandes et sirop),"473,90","8,55","8,22","60,2","22,1",32,"28,2",< 1,-,"0,84",0,0,"7,78","9,88","3,94","0,045","0,037","0,05","0,08","0,37","0,38","5,7","1,02","9,78","3,68","0,22","< 0,011",-,-,-,"0,15","68,2",140,"0,2",1,40,"44,9","0,5",70,165,< 5,"59,2","0,7",-,-,-,-,-,-,-,"0,096","0,19","1,05","0,36","0,14",37,-
"Corned-beef, appertisé","186,90","23,1","63,4",0,"10,5","< 0,2",-,"< 1,5",0,"2,47",0,0,"4,54","5,29","0,45","< 0,005","< 0,005","< 0,005","0,046","0,033","0,31","2,43","1,71","3,61","0,24","0,05",-,0,"< 0,005","75,5","1,95","14,5",665,"0,064","2,24",-,14,"0,014",111,244,-,781,"3,57",0,0,"0,2","0,15","1,6",-,0,"0,055","0,19","3,32","0,63","0,13",9,"1,62"
"Cornichon, aigre-doux","28,15","1,25","91,5",5,"0,35",4,-,"1,5",0,"1,58",0,"1,6",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,1",-,-,-,-,-,-,-,-,-,-,386,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cornichon, au vinaigre","12,53","1,18","92,3","1,3","0,29","0,68","0,6","1,9",0,"2,55",0,"3,5","0,13","0,003","0,058",-,-,-,-,-,"0,001","0,1","0,019","0,003","0,025","0,034",-,-,-,0,"2,09",64,61,"< 0,1","0,3",< 5,"14,3","0,1","29,1",147,"2,06",795,"0,26",0,2,0,"0,07",0,-,"0,22","< 0,04","< 0,04","0,15","0,17","0,038","41,8",0
"Coulirou, cru","70,90","17,5",-,0,"0,1",0,-,0,0,"0,96",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,15",50,-,-,"0,4",-,30,-,115,614,-,61,-,-,-,-,-,-,-,0,"0,03","0,08","3,2",-,-,-,-
Coulommiers,"279,60","18,6",56,0,"22,8",0,-,0,0,"2,6",0,-,"15,8","6,11","0,68","0,65","0,47","0,3","0,75","0,91","2,84","7,56","2,32","4,29","0,36","0,1",-,"0,011",-,85,"1,37",400,-,"0,07","0,23",28,"21,7",0,185,165,5,534,"3,28",196,-,-,"0,6",-,-,-,-,-,-,-,-,-,-
Coupe glacée parfum pêche Melba ou poire Belle-Hélène,"162,68","0,91",-,"32,2","3,36","31,4",-,"0,35",0,"0,094",0,0,"1,79",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,094",-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coupe glacée type café ou chocolat liégeois,"216,56","3,04",-,"28,6",10,"25,6",-,"1,82",0,"0,12",0,0,"7,74",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,12",-,-,-,-,-,-,-,-,-,-,"47,4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Courge doubeurre (butternut), pulpe, crue","21,02",1,"86,4","4,03","0,1","2,2","1,83",2,-,"0,8",0,-,"0,021","0,007","0,042",0,0,0,0,0,0,"0,018","0,002",-,-,-,-,0,0,0,"0,01",48,-,"0,072","0,7",-,34,"0,2",33,352,-,4,"0,15",0,4230,0,"1,44","1,1",-,21,"0,1","0,02","1,2","0,4","0,15",27,0
"Courge hokkaïdo, pulpe, crue","50,92","1,4","86,1","9,98","0,6",-,"4,38","2,6",-,"0,83",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,7",-,-,"0,4",-,"10,8",-,"32,8",436,-,-,-,-,-,-,-,-,-,"13,9","0,015",-,-,-,-,-,-
"Courge melonnette, pulpe, crue","28,09","0,75","91,2","5,98","0,13",-,"0,33","1,35",-,"0,65",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,3",-,-,"0,48",-,"16,8",-,"23,5",359,-,-,-,-,-,-,-,-,-,"9,7","0,01",-,-,-,-,-,-
"Courge musquée, pulpe, crue","21,50","0,55","93,3","4,6","0,1",-,"0,95",1,-,"0,53",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,3",-,-,"0,43","0,5","6,25",-,"18,3",235,-,-,-,-,-,-,-,-,-,"4,6","0,01",-,-,-,-,-,-
"Courge spaghetti, pulpe, crue","29,33","0,64","91,6","5,41","0,57","2,76",-,"1,5",-,"0,28",0,-,"0,12","0,042","0,24",-,-,-,-,"0,002","0,002","0,1","0,011",-,-,-,-,-,-,0,"0,043",23,-,"0,037","0,31",-,12,"0,13",12,108,-,17,"0,19",0,64,0,"0,13","0,9",-,"2,1","0,037","0,018","0,95","0,36","0,1",12,0
"Courge spaghetti, pulpe, cuite","25,22","0,66","92,3","5,06","0,26","2,53",-,"1,4",-,"0,32",0,-,"0,062","0,022","0,13",0,0,0,0,"0,001","0,001","0,053","0,006",-,-,-,-,0,0,0,"0,045",21,-,"0,035","0,34",-,11,"0,11",14,117,-,18,"0,2",0,59,0,"0,12","0,8",-,"3,5","0,038","0,022","0,81","0,36","0,099",8,0
"Courge, crue","12,33","1,1","92,3","1,6","0,17","1,6",-,"1,3",-,"0,74",0,-,"0,037","0,013","0,077",0,0,0,0,"0,00099","0,00099","0,032","0,003","0,013","0,028","0,048",0,0,0,0,"0,011","28,5",-,"0,061","0,6","0,15","16,5","0,17","30,5",312,"0,24","4,5","0,26",0,820,0,"0,12","1,1",-,"14,7","0,028","0,1","0,49","0,17","0,13",34,0
"Courgette, pulpe et peau, crue","14,42","1,22","94,7","1,8","0,26","1,79",0,"1,05","0,014","0,59",0,-,"0,061","0,013","0,084",0,0,0,"0,015","0,0019","0,00095","0,038","0,0047","0,01","0,03","0,055",0,0,0,0,"0,017","18,7",-,"0,052","0,36","1,64","17,5","0,18","44,7",262,"0,58",9,"0,31",0,120,0,"0,12","4,3",-,"17,5","0,047","0,12","0,47","0,18","0,19",36,0
"Courgette, pulpe et peau, cuite","12,56","0,93","93,8","1,4","0,36","1,39","< 0,5","1,5","0,0088","0,7",0,-,"0,1","0,029","0,15",0,0,0,0,0,"0,00086","0,083","0,0059","0,0046","0,041","0,11",-,0,0,0,"0,098","19,3",61,"0,085","0,32",< 5,"22,3","0,089",65,238,< 10,39,"0,22",0,173,0,"0,12","4,2",-,"2,9","< 0,05","< 0,05","< 0,05","< 0,05","< 0,05","32,8",0
"Courgette, pulpe et peau, surgelée, crue","15,06","1,27","94,6","2,18","0,14","1,56",-,"1,48",-,"0,47",0,-,"0,027","0,01","0,056",0,0,0,0,"0,00096",0,"0,023","0,0029",-,-,-,-,0,0,0,"0,019",20,-,"0,05","0,64",-,13,"0,24",28,218,-,"8,36","0,21",0,119,0,"0,12","4,2",-,"9,32","0,048","0,042","0,43","0,3","0,05",10,0
"Courgette, purée","54,30","2,8",-,"6,5","1,9","2,3",-,"1,5",-,"0,6",0,-,"1,3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,6",-,-,-,-,-,-,-,-,-,-,220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Couronne de Noël (Brioche) aux fruits confits, préemballée","352,70","7,2",25,"53,3","12,3","19,6",-,"1,35",0,"0,89",0,0,"5,83","4,49","1,39",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,89",-,-,-,-,-,-,-,-,-,-,354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Court-bouillon pour poissons, déshydraté","255,00",5,-,7,23,"4,5",-,"2,5",0,"47,5",0,0,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"47,5",-,-,-,-,-,-,-,-,-,-,19000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Couscous (semoule de blé dur roulée précuite à la vapeur), crue","353,05","12,3","8,56","72,7","1,45","2,95","64,7","4,33",0,"0,97",0,0,"0,28","0,22","0,59","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,001","0,2","0,018","0,22","0,56","0,032",-,-,"< 0,01",0,"0,013",24,-,"0,25","1,08",-,44,"0,78",170,166,-,"5,5","0,83",0,-,0,-,-,-,0,"0,16","0,078","3,49","1,24","0,11",20,0
"Couscous (semoule de blé dur roulée précuite à la vapeur), cuite, non salée","159,32","5,19",59,"33,2","0,64","0,1","28,7","1,6",0,"0,34",0,0,"0,029","0,022","0,064","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01",0,"0,035",20,"29,1","0,2","0,85",< 20,24,"0,46",92,120,< 20,< 5,"0,9",0,0,0,"< 0,08","< 0,8",-,0,"0,09","0,03","0,2","0,27","0,094",15,0
Couscous à la viande,"122,93","7,59","69,2","12,5","4,73","1,97",-,"2,53",0,"1,33",0,-,"1,24","1,54","0,63","< 0,05","< 0,05","< 0,05","0,003","0,007","0,059","0,7","0,35",-,-,"0,067",-,-,-,-,"0,78","25,2",474,"0,098",-,-,"18,8","0,21",-,179,"< 2,58",313,"1,02",-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Couscous à la viande ou au poulet, allégé","86,70","5,9","72,9","11,5","1,9","2,1","9,4",2,0,"1,65",0,-,"0,4","0,75","0,59",-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,"0,7",22,-,-,"0,78","2,3",17,"0,16",88,148,-,300,-,34,779,"0,04","0,97",-,-,7,"0,07","0,07",2,"0,3","0,13",18,"0,04"
Couscous au mouton,"146,84","8,31","68,9","12,2","7,2","1,38","10,8","1,3",0,"1,4",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"17,5","0,81","31,6",607,"0,1","1,24",3,"23,2","0,19","95,4",187,-,322,"1,22",0,724,"0,14","0,4",-,-,5,"0,075","0,075","1,7","0,3","0,11",18,"0,5"
Couscous au poisson,"101,20","7,5","75,6","14,2","1,6","1,7","12,5","1,7",0,"1,4",0,-,"0,2","0,3","0,9",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,6","0,84",24,-,"0,1","4,1",10,23,"0,2",89,192,-,337,"0,4","0,9",1020,"0,1","1,2",-,-,"7,6","0,1","0,1",-,"0,2","0,1",24,"0,5"
Couscous au poulet,"127,05","7,5","66,9","15,6","3,85","2,87","12,8","1,47",0,"1,24",0,-,"1,17","1,61","0,86",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"26,6","0,79","18,4",674,-,"0,86",3,"18,4",-,69,153,-,307,-,14,700,"0,01","0,48",-,-,"4,05","0,08","0,09","1,9","0,3","0,14","19,1","0,13"
Couscous de légumes,"109,53","4,32","71,1",18,"2,25","2,54",-,"2,24",0,"2,07",0,0,"0,8","0,52","0,83",-,-,-,-,-,-,-,-,-,"0,76","0,072",-,-,-,-,"0,73",-,-,-,-,-,-,-,-,-,-,274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Couscous royal (avec plusieurs viandes),"127,53","7,69","69,2",14,"4,53","1,57","12,5","2,1",0,"1,33",0,-,"1,54","2,14","0,6","< 0,01","< 0,01","0,0036","0,0036","0,014","0,067","0,84","0,31","1,93","0,52","0,07","0,0086",-,"< 0,01",20,"0,88","25,2",474,"0,098","0,93","5,8","18,8","0,21","72,3",179,"< 2,58",345,"1,02","10,6",700,0,"0,4",-,-,"1,69","0,07","0,09","1,9","0,3","0,15","17,2","0,28"
"Crabe ou Tourteau, bouilli/cuit à l'eau","123,77","19,5","72,3","1,79","4,29",0,-,0,0,"2,18",0,0,"0,55","1,26","1,4",-,-,-,-,0,"0,054","0,31","0,13","0,62","0,076","0,11","0,024","0,61","0,28","73,3","1,23",53,640,"1,99","1,62",100,55,"0,087",302,248,"39,6",478,"4,42",26,-,0,"2,4",0,-,"3,6","0,084","0,53","2,1","0,73","0,2","25,5","6,79"
"Crabe, cru","118,25","23,1","75,7","0,027","2,86",0,0,0,0,"1,9",0,0,"0,47","0,88","1,41",-,-,-,-,0,"0,048","0,36","0,055","0,71","0,047","0,041","0,009","0,32","0,15",78,"0,69",84,-,"0,44","1,67",60,"42,5",-,208,268,82,275,"7,7",2,0,0,"2,4",0,-,"2,5","0,097","0,17","2,4","0,71","0,21","25,9","9,55"
"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté","110,20","16,8","72,4","6,7","1,8","0,6",-,"< 0,33",0,"2,09",0,0,"0,23","0,27","0,48",-,-,-,-,0,"0,013","0,12","0,063","0,15","0,02","0,016","0,0039","0,27","0,17",78,"1,59",120,830,"0,44","3,5",60,32,0,220,110,31,638,"11,9",0,-,0,"2,4",0,-,0,"0,05","0,4","1,7","0,71","0,3",20,"13,5"
Crackers de table au froment,"439,00","7,75",-,75,12,"0,4","70,8","4,1",0,"1,5",0,0,"4,5",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,5",-,-,-,-,-,-,-,-,-,-,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Crème anglaise, préemballée","103,06","3,44","77,7","16,7","2,5","12,9","0,7",1,0,"0,6",0,0,"1,55","0,72","0,099","0,071","0,04","0,026","0,059","0,069","0,24","0,77","0,2","0,63","0,08","0,0095","< 0,0024","< 0,0024","< 0,0024","26,6","0,13",110,101,"< 0,01","0,11",< 20,10,"< 0,01",91,140,< 50,"53,7","0,38","28,9","69,8","< 0,5","0,24","< 0,8",-,"0,45","0,028","0,19","0,11","0,39","0,021","9,03","0,23"
"Crème aux œufs (petit pot de crème chocolat, vanille, etc.), rayon frais","172,60","4,37","66,5","18,8","8,88","16,4","0,8","0,67",0,"0,8",0,0,"5,23","1,96","0,46","0,24","0,14","0,096","0,17","0,21","0,72","2,36","0,91","1,85","0,26","0,039","0,021","< 0,0039","0,0069","66,6","0,14",100,109,"0,08","0,79",< 20,19,"0,09",110,210,< 20,"54,2","0,53","79,3","53,6","< 0,25","0,46","0,81",-,"< 0,5","0,04","0,17","< 0,1","0,68","0,029","12,4","0,26"
"Crème brûlée, rayon frais","281,04","4,46","54,7",19,"20,8","15,6",0,"0,61",0,"0,43",0,0,"12,9","3,71","0,62","0,56","0,33","0,23","0,54","0,67","2,12","6,76","1,71",-,"0,55","0,066",-,-,-,193,"0,11","64,3",90,"< 0,1","0,8","17,5","7,6","< 0,1",97,94,< 5,"46,1","0,6",174,64,"< 0,5","1,17",-,-,"< 0,5","0,04","0,19","< 0,16","0,59","0,042","26,2","0,35"
"Crème caramel, rayon frais","139,00","4,45",69,"22,2","3,6",18,"1,65",0,0,"0,76",0,0,"1,93","1,09","0,16","0,02","0,01","0,01","0,03","0,088","0,26","0,74","0,17","0,52","0,1","0,014",0,0,0,12,"0,14","84,9",100,"0,0084","0,32","14,4","12,8","0,004",77,150,< 10,"57,1","0,31",37,8,"0,07","0,16",-,-,0,"0,03","0,2","0,1","0,5","0,03",8,"0,3"
"Crème chantilly, sous pression, UHT","275,12","2,58","61,3","11,3","24,4","9,67",-,0,0,"0,76",0,-,"15,8","6,36","0,83","0,72","0,43","0,25","0,56","0,8","2,56","6,82","2,69","5,19","0,46","0,14","0,02","0,024",0,76,"0,052",101,-,"0,01","0,05",11,11,"0,001",89,147,-,"20,7","0,37",184,43,"0,4","0,64","1,9",-,0,"0,037","0,065","0,07","0,31","0,041",3,"0,29"
